aAcc,mIoU,mAcc,data_time,time,step
43.24,16.44,31.47,0.03343720869584517,1.03927696834911,300.0
85.01,48.78,56.11,0.011198202768961588,0.2382937471071879,600.0
81.43,39.09,43.98,0.011085232098897299,0.23788501818974814,900.0
82.37,46.06,51.79,0.009035289287567139,0.23578997453053793,1200.0
86.48,48.15,53.93,0.008987764517466227,0.23593080043792725,1500.0
87.07,46.39,51.49,0.011159400145212809,0.2387902537981669,1800.0
86.15,50.19,55.9,0.009331544240315756,0.23562878370285034,2100.0
87.67,52.37,58.45,0.009179850419362387,0.23544599612553915,2400.0
89.62,57.53,63.66,0.00999605655670166,0.23712128400802612,2700.0
87.86,56.18,63.21,0.009040852387746176,0.2351055145263672,3000.0
91.39,62.84,72.81,0.011151671409606934,0.2380066712697347,3300.0
85.81,55.25,63.46,0.008400877316792807,0.2347098390261332,3600.0
90.51,61.49,71.52,0.009809494018554688,0.23724003632863364,3900.0
90.93,58.81,65.54,0.00890648365020752,0.23610411087671915,4200.0
88.34,63.28,73.97,0.008494933446248373,0.23530014355977377,4500.0
91.28,64.62,75.42,0.009217401345570883,0.2360785404841105,4800.0
91.04,66.51,74.58,0.00858465830485026,0.23512725035349527,5100.0
91.15,66.73,75.08,0.00854255755742391,0.23474748929341635,5400.0
90.67,64.46,71.88,0.009238779544830322,0.23536177476247153,5700.0
